Latitude,Longitude,Borough,Ward ID,Borough ID,Ward,Point Order,Sub Polygon Id
51.5453,0.0951,Barking and Dagenham,E05000035,E09000002,Longbridge,5,1
51.5504,0.1078,Barking and Dagenham,E05000035,E09000002,Longbridge,6,1
51.549,0.1086,Barking and Dagenham,E05000035,E09000002,Longbridge,7,1
51.5462,0.1109,Barking and Dagenham,E05000035,E09000002,Longbridge,8,1
51.5403,0.106,Barking and Dagenham,E05000035,E09000002,Longbridge,9,1
51.5381,0.1073,Barking and Dagenham,E05000035,E09000002,Longbridge,10,1
51.5372,0.0952,Barking and Dagenham,E05000035,E09000002,Longbridge,11,1
51.549,0.1086,Barking and Dagenham,E05000036,E09000002,Mayesbrook,1,1
51.5469,0.1235,Barking and Dagenham,E05000036,E09000002,Mayesbrook,2,1
51.5509,0.1259,Barking and Dagenham,E05000036,E09000002,Mayesbrook,3,1
51.5513,0.132,Barking and Dagenham,E05000036,E09000002,Mayesbrook,4,1
51.5465,0.1271,Barking and Dagenham,E05000036,E09000002,Mayesbrook,5,1
51.5466,0.1317,Barking and Dagenham,E05000036,E09000002,Mayesbrook,6,1
51.5433,0.1335,Barking and Dagenham,E05000036,E09000002,Mayesbrook,7,1
51.5402,0.1358,Barking and Dagenham,E05000036,E09000002,Mayesbrook,8,1
51.5398,0.1293,Barking and Dagenham,E05000036,E09000002,Mayesbrook,9,1
51.5383,0.1293,Barking and Dagenham,E05000036,E09000002,Mayesbrook,10,1
51.538,0.1238,Barking and Dagenham,E05000036,E09000002,Mayesbrook,11,1
51.5394,0.1236,Barking and Dagenham,E05000036,E09000002,Mayesbrook,12,1
51.5381,0.1073,Barking and Dagenham,E05000036,E09000002,Mayesbrook,13,1
51.5403,0.106,Barking and Dagenham,E05000036,E09000002,Mayesbrook,14,1
51.5462,0.1109,Barking and Dagenham,E05000036,E09000002,Mayesbrook,15,1
51.549,0.1086,Barking and Dagenham,E05000036,E09000002,Mayesbrook,16,1
51.5509,0.1259,Barking and Dagenham,E05000037,E09000002,Parsloes,1,1
51.5551,0.1288,Barking and Dagenham,E05000037,E09000002,Parsloes,2,1
51.5553,0.144,Barking and Dagenham,E05000037,E09000002,Parsloes,3,1
51.5541,0.1453,Barking and Dagenham,E05000037,E09000002,Parsloes,4,1
51.5523,0.1385,Barking and Dagenham,E05000037,E09000002,Parsloes,5,1
51.5505,0.1444,Barking and Dagenham,E05000037,E09000002,Parsloes,6,1
51.5461,0.1447,Barking and Dagenham,E05000037,E09000002,Parsloes,7,1
51.544,0.1432,Barking and Dagenham,E05000037,E09000002,Parsloes,8,1
51.5452,0.1402,Barking and Dagenham,E05000037,E09000002,Parsloes,9,1
51.5433,0.1335,Barking and Dagenham,E05000037,E09000002,Parsloes,10,1
51.5466,0.1317,Barking and Dagenham,E05000037,E09000002,Parsloes,11,1
51.5465,0.1271,Barking and Dagenham,E05000037,E09000002,Parsloes,12,1
51.5513,0.132,Barking and Dagenham,E05000037,E09000002,Parsloes,13,1
51.5509,0.1259,Barking and Dagenham,E05000037,E09000002,Parsloes,14,1
51.5312,0.1494,Barking and Dagenham,E05000038,E09000002,River,1,1
51.5348,0.1498,Barking and Dagenham,E05000038,E09000002,River,2,1
51.5355,0.144,Barking and Dagenham,E05000038,E09000002,River,3,1
51.537,0.1451,Barking and Dagenham,E05000038,E09000002,River,4,1
51.5406,0.1419,Barking and Dagenham,E05000038,E09000002,River,5,1
51.5411,0.1495,Barking and Dagenham,E05000038,E09000002,River,6,1
51.5397,0.1498,Barking and Dagenham,E05000038,E09000002,River,7,1
51.5396,0.1546,Barking and Dagenham,E05000038,E09000002,River,8,1
51.5358,0.1546,Barking and Dagenham,E05000038,E09000002,River,9,1
51.5343,0.1606,Barking and Dagenham,E05000038,E09000002,River,10,1
51.5283,0.1676,Barking and Dagenham,E05000038,E09000002,River,11,1
51.5266,0.1661,Barking and Dagenham,E05000038,E09000002,River,12,1
51.5154,0.1613,Barking and Dagenham,E05000038,E09000002,River,13,1
51.5083,0.1595,Barking and Dagenham,E05000038,E09000002,River,14,1
51.5087,0.1549,Barking and Dagenham,E05000038,E09000002,River,15,1
51.5125,0.1425,Barking and Dagenham,E05000038,E09000002,River,16,1
51.5163,0.1464,Barking and Dagenham,E05000038,E09000002,River,17,1
51.5288,0.1494,Barking and Dagenham,E05000038,E09000002,River,18,1
51.5312,0.1494,Barking and Dagenham,E05000038,E09000002,River,19,1
51.5271,0.0821,Barking and Dagenham,E05000039,E09000002,Thames,1,1
51.531,0.1023,Barking and Dagenham,E05000039,E09000002,Thames,2,1
51.5322,0.1146,Barking and Dagenham,E05000039,E09000002,Thames,3,1
51.5339,0.1153,Barking and Dagenham,E05000039,E09000002,Thames,4,1
51.5339,0.1239,Barking and Dagenham,E05000039,E09000002,Thames,5,1
51.5336,0.1364,Barking and Dagenham,E05000039,E09000002,Thames,6,1
51.5315,0.135,Barking and Dagenham,E05000039,E09000002,Thames,7,1
51.5307,0.1434,Barking and Dagenham,E05000039,E09000002,Thames,8,1
51.5312,0.1494,Barking and Dagenham,E05000039,E09000002,Thames,9,1
51.5288,0.1494,Barking and Dagenham,E05000039,E09000002,Thames,10,1
51.5163,0.1464,Barking and Dagenham,E05000039,E09000002,Thames,11,1
51.5125,0.1425,Barking and Dagenham,E05000039,E09000002,Thames,12,1
51.5147,0.1343,Barking and Dagenham,E05000039,E09000002,Thames,13,1
51.5149,0.1269,Barking and Dagenham,E05000039,E09000002,Thames,14,1
51.5131,0.1199,Barking and Dagenham,E05000039,E09000002,Thames,15,1
51.5113,0.1119,Barking and Dagenham,E05000039,E09000002,Thames,16,1
51.5114,0.1013,Barking and Dagenham,E05000039,E09000002,Thames,17,1
51.514,0.1014,Barking and Dagenham,E05000039,E09000002,Thames,18,1
51.5165,0.0965,Barking and Dagenham,E05000039,E09000002,Thames,19,1
51.5199,0.0966,Barking and Dagenham,E05000039,E09000002,Thames,20,1
51.522,0.0941,Barking and Dagenham,E05000039,E09000002,Thames,21,1
51.5254,0.0939,Barking and Dagenham,E05000039,E09000002,Thames,22,1
51.5253,0.088,Barking and Dagenham,E05000039,E09000002,Thames,23,1
51.5271,0.0821,Barking and Dagenham,E05000039,E09000002,Thames,24,1
51.5638,0.1266,Barking and Dagenham,E05000040,E09000002,Valence,1,1
51.566,0.131,Barking and Dagenham,E05000040,E09000002,Valence,2,1
51.5666,0.1386,Barking and Dagenham,E05000040,E09000002,Valence,3,1
51.5627,0.1392,Barking and Dagenham,E05000040,E09000002,Valence,4,1
51.5608,0.1378,Barking and Dagenham,E05000040,E09000002,Valence,5,1
51.5606,0.1495,Barking and Dagenham,E05000040,E09000002,Valence,6,1
51.5579,0.1492,Barking and Dagenham,E05000040,E09000002,Valence,7,1
